,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7
Installment_Purchases,0.020429821412991843,-0.09621483371269274,-0.17263167505982505,-0.09448871219196311,0.010861762722832721,-0.05672853904680763,0.01666838170456385
None_Of_the_Purchases,-0.11301947623074496,0.045695780959699846,0.04305115491231572,0.012939085697983868,0.031656363433064855,-0.0939500952475471,0.1415840707517496
One_Of_Purchase,-0.029251302817191464,-0.008406227687872223,0.15237812441370951,0.06577060799591189,-0.0309501266207854,0.08071406103712868,-0.052503321572048435
BALANCE_FREQUENCY,0.06558019740315295,0.2902694147329609,-0.34007223748396126,0.4062444644106996,-0.08301621330007113,0.33432519542233147,0.45394191584135557
ONEOFF_PURCHASES,0.3002296110453702,0.22668487279715346,0.452661693507395,0.10271676729895436,-0.003485801092924067,-0.042032941886671886,0.08743348309530871
INSTALLMENTS_PURCHASES,0.3253197840866057,0.13821998946274083,-0.16380139544090414,-0.12694686125219193,0.1605765475919044,-0.51230807644854,0.1274548389296325
PURCHASES_FREQUENCY,0.3823867900201187,-0.0012970257958804007,-0.32816278889736894,-0.0735855059098657,-0.07211373548964038,0.3143444340320574,-0.2235417408421878
ONEOFF_PURCHASES_FREQUENCY,0.2903508403997668,0.16657974874024492,0.31068114226088867,0.14796880169075946,-0.1448087163912195,0.49319706156050147,-0.2356932212256958
PURCHASES_INSTALLMENTS_FREQUENCY,0.33040067028558273,-0.022117862861087564,-0.5147519829264837,-0.16040249531049647,0.029826480059316367,0.015422031189589827,-0.1530380025491196
CASH_ADVANCE_FREQUENCY,-0.22235456635650125,0.45768804843637223,-0.04348046754651208,-0.23708361019461377,-0.05030287984710478,0.06663899690410954,-0.009000157814620272
CASH_ADVANCE_TRX,-0.18105667025537367,0.45558522769216997,-0.05121914893258888,-0.33009203576205565,-0.07797534198702916,0.08227226424904432,-0.06693057036503954
PURCHASES_TRX,0.37530040241106505,0.2015124813624079,-0.015157099487585495,0.00012959644466833064,0.06910832139801738,-0.11202972903586024,-0.14693671071050404
PRC_FULL_PAYMENT,0.1864392181278514,-0.1901663565337731,0.07660034724245421,-0.43980407517799636,-0.2889604096089128,0.17649496115308738,0.707588712142798
Monthly_Avg_Purchase,0.3746455140475692,0.23693797183461685,0.2701604114277757,0.014535697791443085,0.06812452186600143,-0.2642882681596684,0.1233969729831915
Monthly_Avg_Cash,-0.16597419352058654,0.3962850526224982,-0.003599409344172164,-0.3549780230164768,-0.05677485182599506,0.002580588564979468,-0.08643222390246418
Limit_Usage,-0.14183182528582344,0.3115509656529225,-0.1942020329247846,0.4586456041048423,0.18577731192610758,-0.11202826125380819,0.22507377702553402
Pay_to_MinimumPay,0.01175421553482382,-0.0393050812673061,0.08505673942413398,-0.21602274679490266,0.8938185421079725,0.3547271162701489,0.13355012417939421
